event-id,timestamp,location-long,location-lat,external-temperature,gps:dop,height-raw,sensor-type,tag-local-identifier,individual-local-identifier
9710514363,2013-02-03 09:20,-112.8378,56.430712,2.0,3.2,537.31,gps,33674,33674
9710303310,2014-01-17 19:20,-111.426736,56.931314,12.0,2.0,219.07,gps,13792,13792
9710349776,2013-02-21 14:30,-111.511109,57.350714,-8.0,3.2,323.72,gps,33668,32262_33668
9710530726,2012-05-28 10:00,-112.039093,56.612023,13.0,1.8,445.31,gps,32270,32270
9710451025,2014-04-22 22:00,-111.634408,60.160386,17.0,1.6,182.12,gps,33679,33679
9710435695,2012-11-20 01:45,-111.624181,57.398576,-4.0,1.6,257.38,gps,32251,32251
9710395004,2013-02-11 04:00,-111.837486,57.46963,3.0,0.6,325.46,gps,32264,32264
9710453258,2014-06-21 14:00,-111.56083,59.981303,25.0,2.2,184.43,gps,33679,33679
9710500643,2012-06-11 06:30,-111.243911,57.012803,9.0,2.0,419.06,gps,32258,32258
9710485668,2012-04-19 17:00,-111.767506,57.54674,18.0,1.8,296.6,gps,32257,32257
9710305954,2014-01-12 15:40,-111.425192,56.825858,0.0,1.4,222.6,gps,13794,13794
9710434054,2012-07-30 10:00,-111.509239,57.293778,18.0,2.2,272.14,gps,32251,32251
9710409217,2012-11-14 16:00,-111.501028,56.685528,0.0,2.2,224.91,gps,32267,32267
9710301093,2014-02-16 23:10,-112.046299,57.069384,10.0,1.8,395.07,gps,13790,13790
9710473003,2013-05-07 07:01,-112.149562,56.563194,9.0,11.6,321.04,gps,32255,32255
9710390787,2012-04-19 15:46,-111.767757,57.546537,20.0,1.6,306.27,gps,32264,32264
9710330324,2014-01-31 22:40,-112.277163,56.573019,3.0,2.0,454.33,gps,33678,33678B
9710421137,2013-06-18 03:45,-112.036973,57.117331,20.0,3.6,367.73,gps,33681,33681
9710513573,2013-01-17 21:50,-112.236739,56.417531,-2.0,1.6,473.4,gps,33674,33674
9710467024,2012-04-18 13:45,-111.943395,56.590622,4.0,3.8,364.9,gps,32255,32255
9710466190,2012-04-09 05:30,-112.042084,56.577996,4.0,2.2,298.17,gps,32255,32255
9710479811,2014-02-26 05:20,-111.479376,57.707026,-12.0,2.2,251.03,gps,32254,32254
9710481525,2014-03-10 03:00,-111.654039,57.44445,0.0,3.2,262.11,gps,32254,32254
9710304801,2014-01-28 03:50,-111.467244,57.024468,-9.0,1.8,267.47,gps,13792,13792
9710368035,2014-02-25 16:20,-111.555734,56.678702,-17.0,1.8,298.5,gps,32261,32261B
9710309002,2014-02-02 19:40,-111.363553,56.814692,1.0,2.0,328.35,gps,13794,13794
9710341248,2012-06-20 18:15,-111.785961,57.308327,29.0,1.6,276.49,gps,32268,32268
9710520433,2014-03-20 13:50,-112.824349,55.955993,-1.0,3.8,553.06,gps,33674,33674
9710380614,2014-01-27 07:30,-111.434733,56.718447,-24.0,1.8,229.07,gps,32263,32263B
9710437288,2013-04-10 12:15,-111.434735,57.361309,5.0,1.6,287.47,gps,32251,32251
9710334585,2014-03-02 13:00,-111.809041,56.918339,-22.0,1.6,403.52,gps,33678,33678B
9710456371,2012-08-03 13:00,-111.481263,56.558611,18.0,2.2,384.85,gps,32253,32253
9710382420,2014-02-08 20:30,-111.510093,56.70913,2.0,1.8,337.24,gps,32263,32263B
9710473041,2014-01-03 19:00,-111.742778,57.374344,-14.0,2.0,267.5,gps,32254,32254
9710336776,2014-03-17 18:20,-112.330901,56.833623,19.0,2.0,442.26,gps,33678,33678B
9710450431,2014-04-14 07:45,-111.554941,59.93407,-4.0,1.8,185.11,gps,33679,33679
